,Station ID,XCNAQ1067,XCNAQ1066,XCNAQ1068,XCNAQ346,XCNAQ1063,XCNAQ1065,XCNAQ1064,XCNAQ1071,XCNAQ1070,XCNAQ1069,XCNAQ2872,XCNAQ2873,XCNAQ017,XCNAQ478,XCNAQ1213,CN_1489A,CN_1487A,CN_1486A,XCNAQ1214,XCNAQ1212,CN_1488A,CN_1484A,CN_1485A
0,Latitude,37.0172,37.4514,37.5002,39.1447,37.9647,37.9722,37.9844,36.0210,36.0022,36.1417,39.0153,39.2282,38.8170,39.1292,38.4841,38.5036,38.4858,38.4536,38.4949,38.4413,38.4975,38.6016,38.4744
1,Longitude,105.1800,105.0197,105.1971,106.6752,106.1532,106.1960,106.2025,106.2375,106.2792,106.2319,106.3717,106.7704,106.3394,106.7097,106.2739,106.1358,106.0720,106.2170,106.1024,106.2275,106.2328,105.9512,106.2680
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
2107,2018/10/06 00:00:00,33.2083,21.4583,28.7083,20.2500,36.2609,26.5417,25.5000,19.0833,20.4167,30.0833,-99999.0000,-99999.0000,25.5833,15.3333,22.1667,23.7083,-99999.0000,-99999.0000,28.8333,23.0435,26.3810,16.6250,-99999.0000
2108,2018/10/07 00:00:00,35.0417,21.2500,26.6667,29.8750,57.0870,35.8750,40.0417,21.8333,24.9167,28.9167,-99999.0000,-99999.0000,48.5833,22.0000,32.0833,37.8750,-99999.0000,-99999.0000,55.2917,35.7917,44.9583,33.0833,-99999.0000
2109,2018/10/08 00:00:00,18.2609,13.5000,11.2609,20.4167,18.7083,13.0833,13.1250,15.3182,19.7273,24.0833,-99999.0000,-99999.0000,16.7826,17.2917,23.4545,27.0435,-99999.0000,-99999.0000,39.1304,24.2500,34.0000,19.7826,-99999.0000
2110,2018/10/09 00:00:00,21.6818,9.7391,19.1333,26.4000,23.5652,15.2174,19.2083,15.6250,23.1667,22.5455,-99999.0000,-99999.0000,22.7917,20.6087,22.6522,23.1364,-99999.0000,-99999.0000,29.8333,22.1905,27.2727,11.2083,-99999.0000
2111,2018/10/10 00:00:00,36.7500,26.2917,31.2083,11.3750,21.5417,17.9167,27.0000,15.9167,22.1053,26.5833,-99999.0000,-99999.0000,26.7500,11.9167,30.4167,32.9167,-99999.0000,-99999.0000,40.7391,22.7000,35.1250,24.6087,-99999.0000
2112,2018/10/11 00:00:00,38.9167,29.0417,31.5417,39.1667,31.7917,28.7083,34.2917,23.3750,30.0870,28.0000,-99999.0000,-99999.0000,43.7500,-99999.0000,29.0417,33.7917,-99999.0000,-99999.0000,34.2917,29.2609,34.5000,17.5833,-99999.0000
2113,2018/10/12 00:00:00,58.2083,40.9167,52.9583,47.5000,42.4583,34.2917,39.2500,20.8750,24.5833,25.5833,-99999.0000,-99999.0000,35.0000,44.8500,34.1250,37.4583,-99999.0000,-99999.0000,43.1250,33.4583,41.7500,30.4583,-99999.0000
2114,2018/10/13 00:00:00,63.6364,37.8636,48.3182,86.5455,51.0455,50.9091,56.0455,26.7273,31.4545,35.6364,-99999.0000,-99999.0000,81.0455,78.4545,59.5455,57.0455,-99999.0000,-99999.0000,63.8636,64.9412,68.5455,43.5909,-99999.0000
2115,2018/10/14 00:00:00,75.2174,62.0435,61.4348,74.5652,40.7083,48.3750,49.9167,18.3333,21.0417,27.2727,-99999.0000,-99999.0000,76.4167,60.7083,67.1667,73.9167,-99999.0000,-99999.0000,82.7500,52.4000,74.7500,62.0000,-99999.0000
2116,2018/10/15 00:00:00,80.8636,68.5417,63.8261,25.6667,37.7083,39.0417,42.2917,22.2727,23.5909,29.3750,-99999.0000,-99999.0000,47.2273,16.8750,35.3913,34.0000,-99999.0000,-99999.0000,40.8750,26.0909,39.0417,31.2917,-99999.0000
2117,2018/10/16 00:00:00,43.5417,40.7143,38.1667,19.6364,24.9130,21.2174,27.7826,36.4167,37.1250,43.6364,-99999.0000,-99999.0000,44.8333,18.9091,31.6667,40.0870,-99999.0000,-99999.0000,42.8750,24.9583,39.6957,26.7083,-99999.0000
